ImageNumber,ObjectNumber,Distance_Centroid_Cells,Distance_Centroid_Nuclei,Parent_Cells,Parent_Nuclei
1,444,56.25454149673205,58.183542935676506,3,3
1,445,17.385732996234704,31.6303974773784,4,4
1,446,15.57064828124613,33.14831192327104,4,4
1,447,12.771516920768327,34.159220120287074,3,3
1,448,19.10032820395112,33.59739752155554,3,3
1,449,41.78520108962815,36.47090346339506,4,4
1,450,35.31428658712677,33.119536661157824,4,4
1,451,29.643143074240374,30.772868097551996,4,4
1,452,21.33905825611221,28.883245683547116,4,4
1,453,15.441162052290059,36.69635916131066,4,4
1,454,19.42309851639468,42.49413399138207,4,4
1,455,35.72411806374129,nan,4,0
1,456,80.54464898823319,69.92251372559491,5,5
1,457,61.29360470589572,62.78584394484124,5,5
1,458,16.26717771334829,34.07798925225699,3,3
1,459,22.816355208966957,35.98727719313756,3,3
1,460,61.960927401708965,51.25095740231569,4,4
1,461,18.760240969982032,38.62459682940488,4,4
1,462,82.13539883566183,70.74190910438088,5,5
1,463,65.57099538294378,60.25512237470434,5,5
1,464,85.07365962202152,84.64834979610592,3,3
1,465,59.809841177411656,48.78658003268914,4,4
1,466,55.49592536536464,45.76855040101519,4,4
1,467,52.26187331297373,42.71266945003496,4,4
1,468,37.08603441727844,30.754691667996646,4,4
1,469,29.427432861757406,27.40395752313305,4,4
1,470,15.31129982205339,35.85830132575852,3,3
1,471,55.69499899790527,58.90596459748045,3,3
1,472,41.20503916716139,32.58930755421891,4,4
1,473,20.04308773361677,28.104961464541393,4,4
1,474,74.04144904318593,64.18848742703196,5,5
1,475,58.67658734956087,64.1257314160912,5,5
1,476,28.43070888540993,40.79431082109472,3,3
1,477,67.32142854611466,69.2853721183846,3,3
1,478,48.527367404304876,37.73010659349503,4,4
1,479,28.762024992490527,24.356789343766984,4,4
1,480,81.57580032699873,69.62949259964847,5,5
1,481,61.9420044597623,70.48358606229279,5,5
1,482,33.55460824651562,43.67221047291763,3,3
1,483,59.0621660426885,62.6442040395976,3,3
1,484,72.48859575245649,74.00093449890615,3,3
1,485,76.58219492439025,77.71388976671626,3,3
1,486,57.05761854099359,43.77876981741328,4,4
1,487,25.598971592738362,23.34523790253477,4,4
1,488,74.89389837957046,64.31160034478297,5,5
1,489,63.08335244408974,56.88437763734928,5,5
1,490,43.3185446609231,60.08392456910778,3,3
1,491,29.3710226156714,49.00707733523813,3,3
1,492,20.561140949961388,38.85436284747759,3,3
1,493,31.40826073037445,43.32876480793015,3,3
1,494,35.70182193730581,24.849667990330904,4,4
1,495,21.470799004072365,31.547453884730253,4,4
1,496,68.94078846047212,59.33457035897793,5,5
1,497,55.31814976583731,58.172790704883525,5,5
1,498,54.25743667122539,38.797905875619264,4,4
1,499,23.831633610928975,45.1649188026656,3,3
1,500,24.242102336894654,42.27105671082488,3,3
1,501,41.86030977856609,51.090765692215705,3,3
1,502,52.87434135033649,59.195393958951705,3,3
1,503,58.378435818621675,63.4243257815763,3,3
1,504,46.42363739164103,31.492251984937848,4,4
1,505,42.76051279000063,26.96584171146273,4,4
1,506,27.071310388273933,21.062164647018506,4,4
1,507,25.11504050945024,23.340431773331478,4,4
1,508,55.305677774777756,51.45135668162546,5,5
1,509,57.939500612939995,67.10626022305256,5,5
1,510,59.48378432552667,69.47221274313948,5,5
1,511,33.18276444873248,53.02345686021297,3,3
1,512,27.698923584133265,48.35587520333076,3,3
1,513,53.04730646897439,35.062507048656386,4,4
1,514,30.691063844174874,18.58317711453791,4,4
1,515,26.90109109590996,32.425275809750204,4,4
1,516,79.4796497503564,66.51501382437847,5,5
1,517,58.939808133677694,51.672932147961525,5,5
1,518,51.27188079438054,52.01860712280108,5,5
1,519,52.88657322506593,60.05685478487093,5,5
1,520,31.479243357718143,51.90776440805301,3,3
